Id,Manufacturer Code,Decimal First Serial Number,Decimal Last Serial Number,Manufacturer
1,000,00000000,00000000,Reserved
2,000,00000001,00262143,Not available
3,000,00262144,00524287,Kyocera Wireless
4,000,00524288,00786431,SONY Electronics
5,000,00786432,16777215,Not available
6,001,00000000,09437183,Not available
7,001,09437184,09699327,Reserved
8,001,09699328,12582911,Kyocera Wireless
9,001,12582912,14417919,SONY Electronics
10,001,14417920,14942207,Samsung Communications
11,001,14942208,16777215,Not available
12,002,00000000,00262143,Sharp
13,002,00262144,01048575,Reserved
14,002,01048576,01310719,Infea Data Systems
15,002,01310720,01835007,Datang Telecom Technology
16,002,01835008,02359295,VK
17,002,02359296,02883583,Alps Electric (North America)
18,002,02883584,03145727,Texas Instruments
19,002,03145728,03670015,Huawei Technologies
20,002,03670016,04194303,AL Communication
21,002,04194304,12582911,Not available
22,002,12582912,14680063,Appeal Telecom
23,002,14680064,15204351,Seucomm
24,002,15204352,16777215,Huawei Technologies
25,003,00000000,00524287,Huawei Technologies
26,003,00524288,16777215,Not available
27,004,00000000,00524287,Not available
28,004,00524288,00786431,Cyberbank
29,004,00786432,01048575,Sungil Telecom
30,004,01048576,01572863,Utofos
31,004,01572864,02097151,Vitelcom Mobile Technology S.A.
32,004,02097152,02621439,UTStarcom
33,004,02621440,03145727,Ningbo Bird
34,004,03145728,08650751,SANYO Electric
35,004,08650752,09175039,VK
36,004,09175040,10485759,Vitelcom Mobile Technology S.A.
37,004,10485760,16777215,Pantech & Curitel Communications
38,005,00000000,01835007,Pantech & Curitel Communications
39,005,01835008,02359295,Jinpeng Telecommunication Industrial
40,005,02359296,02883583,Pegasus Telecom (Qingdao)
41,005,02883584,04194303,UTStarcom
42,005,04194304,06553599,Huawei Technologies
43,005,06553600,06815743,Sendum Wireless
44,005,06815744,08912895,Vitelcom Mobile Technology S.A.
45,005,08912896,09437183,Dalian Daxian Telecom
46,005,09437184,09961471,Jinpeng Telecommunication Industrial
47,005,09961472,10485759,Eastern Communications
48,005,10485760,11010047,Techfaith Wireless Communication Technology (Beijing)
49,005,11010048,11534335,Hantel
50,005,11534336,13107199,VK
51,005,13107200,16777215,SANYO Electric
52,006,00000000,03932159,SANYO Electric
53,006,03932160,12320767,Pantech & Curitel Communications
54,006,12320768,16252927,Huawei Technologies
55,006,16252928,16777215,"Evadin Industrias Amazonia, S.A."
56,007,00000000,00524287,Ubistar
57,007,00524288,01310719,Jinpeng Telecommunication Industrial
58,007,01310720,01835007,Amoi Electronics
59,007,01835008,02621439,Sungil Telecom
60,007,02621440,03145727,Firefly Mobile
61,007,03145728,04194303,Pegasus Telecom (Qingdao)
62,007,04194304,10485759,Huawei Technologies
63,007,10485760,11010047,Jiangsu Gaotong Technology Industry
64,007,11010048,11534335,Rose Telecom
65,007,11534336,16777215,Pantech & Curitel Communications
66,008,00000000,03932159,Pantech & Curitel Communications
67,008,03932160,04456447,Aiji System
68,008,04456448,12845055,SANYO Electric
69,008,12845056,13369343,Ubiquam
70,008,13369344,15728639,Pegasus Telecom (Qingdao)
71,008,15728640,16777215,ZTE
72,009,00000000,01835007,ZTE
73,009,01835008,11010047,Huawei Technologies
74,009,11010048,11796479,Jinpeng Telecommunication Industrial
75,009,11796480,14417919,HTC
76,009,14417920,15204351,Sungil Telecom
77,009,15204352,16777215,SANYO Electric
78,010,00000000,06815743,SANYO Electric
79,010,06815744,07077887,ALBAHITH Company
80,010,07077888,07602175,Palm
81,010,07602176,08126463,Seiko Instruments
82,010,08126464,11272191,ZTE
83,010,11272192,13107199,Casio Hitachi Mobile Communications
84,010,13107200,14942207,Sharp Electronics
85,010,14942208,15466495,Inventec Appliances (Jiangning)
86,010,15466496,15728639,Shenzhen Konka Telecommunications Technology
87,010,15728640,16252927,Cal-Comp Electronics & Communications
88,010,16252928,16515071,Zhejiang Holley Communications Group
89,010,16515072,16777215,Hantel
90,011,00000000,00786431,ROSE Telecom
91,011,00786432,06291455,ZTE
92,011,06291456,06553599,Dalian Daxian Telecom
93,011,06553600,13107199,Nokia Mobile Phones
94,011,13107200,16777215,Motorola
95,012,00000000,05767167,Motorola
96,012,05767168,13107199,Samsung Telecommunications America
97,012,13107200,16777215,Pantech & Curitel Communications
98,013,00000000,00524287,Pantech & Curitel Communications
99,013,00524288,04718591,Huawei Technologies
100,013,04718592,11010047,ZTE
101,013,11010048,13107199,Sony Ericsson Mobile Communications
102,013,13107200,14417919,Cal-Comp Electronics & Communications
103,013,14417920,15204351,Hantel
104,013,15204352,15466495,FIC Communications (Shanghai)
105,013,15466496,15728639,Techfaith Wireless Communication Technology (Beijing)
106,013,15728640,16777215,Casio Hitachi Mobile Communications
107,014,00000000,01048575,Casio Hitachi Mobile Communications
108,014,01048576,01310719,Bridge Communication
109,014,01310720,03407871,Cal-Comp Electronics & Communications
110,014,03407872,13893631,LG Electronics
111,014,13893632,14155775,Ubiquam
112,014,14155776,16777215,Samsung Telecommunications America
113,015,00000000,07864319,Samsung Telecommunications America
114,015,07864320,13631487,Huawei Technologies
115,015,13631488,16777215,ZTE
116,016,00000000,03407871,ZTE
117,016,03407872,05505023,Cal-Comp Electronics & Communications
118,016,05505024,06291455,Pegasus Telecom (Qingdao)
119,016,06291456,06553599,Beijing Hi-Tech Wealth Electronic Product
120,016,06553600,10747903,Huawei Technologies
121,016,10747904,11534335,Pegasus Telecom (Qingdao)
122,016,11534336,13893631,Cal-Comp Electronics & Communications
123,016,13893632,14155775,ROSE Telecom
124,016,14155776,14417919,EpiValley
125,016,14417920,14680063,Mobile System Technologies
126,016,14680064,16777215,Huawei Technologies
127,017,00000000,02883583,Huawei Technologies
128,017,02883584,08912895,LG Electronics
129,017,08912896,15466495,Motorola
130,017,15466496,16777215,ZTE
131,018,00000000,03407871,ZTE
132,018,03407872,04194303,Pegasus Telecom (Qingdao)
133,018,04194304,04456447,IXI Mobile (USA)
134,018,04456448,08650751,"Huawei Technologies,"
135,018,08650752,10747903,Kyocera Wireless
136,018,10747904,13107199,Samsung Telecommunications America
137,018,13107200,13369343,Guangzhou ChuangQi Telecom Equipment
138,018,13369344,13631487,LG Innotek
139,018,13631488,16777215,Not available
140,019,00000000,16777215,LG Electronics
141,020,00000000,16777215,Motorola
142,021,00000000,16777215,LG Electronics
143,022,00000000,16777215,Samsung Telecommunications America
144,023,00000000,16777215,LG Electronics
145,024,00000000,16777215,Samsung Telecommunications America
