Id,Port Number,Service Name,Transport Protocol,Description
1,0,,tcp,Reserved
2,0,,udp,Reserved
3,1,tcpmux,tcp,TCP Port Service Multiplexer
4,1,tcpmux,udp,TCP Port Service Multiplexer
5,2,compressnet,tcp,Management Utility
6,2,compressnet,udp,Management Utility
7,3,compressnet,tcp,Compression Process
8,3,compressnet,udp,Compression Process
9,4,,tcp,Unassigned
10,4,,udp,Unassigned
11,5,rje,tcp,Remote Job Entry
12,5,rje,udp,Remote Job Entry
13,6,,tcp,Unassigned
14,6,,udp,Unassigned
15,7,echo,tcp,Echo
16,7,echo,udp,Echo
17,8,,tcp,Unassigned
18,8,,udp,Unassigned
19,9,discard,tcp,Discard
20,9,discard,udp,Discard
21,9,discard,sctp,Discard
22,9,discard,dccp,Discard
23,10,,tcp,Unassigned
24,10,,udp,Unassigned
25,11,systat,tcp,Active Users
26,11,systat,udp,Active Users
27,12,,tcp,Unassigned
28,12,,udp,Unassigned
29,13,daytime,tcp,Daytime
30,13,daytime,udp,Daytime
31,14,,tcp,Unassigned
32,14,,udp,Unassigned
33,15,,tcp,Unassigned [was netstat]
34,15,,udp,Unassigned
35,16,,tcp,Unassigned
36,16,,udp,Unassigned
37,17,qotd,tcp,Quote of the Day
38,17,qotd,udp,Quote of the Day
39,18,msp,tcp,Message Send Protocol (historic)
40,18,msp,udp,Message Send Protocol (historic)
41,19,chargen,tcp,Character Generator
42,19,chargen,udp,Character Generator
43,20,ftp-data,tcp,File Transfer [Default Data]
44,20,ftp-data,udp,File Transfer [Default Data]
45,20,ftp-data,sctp,FTP
46,21,ftp,tcp,File Transfer Protocol [Control]
47,21,ftp,udp,File Transfer Protocol [Control]
48,21,ftp,sctp,FTP
49,22,ssh,tcp,The Secure Shell (SSH) Protocol
50,22,ssh,udp,The Secure Shell (SSH) Protocol
51,22,ssh,sctp,SSH
52,23,telnet,tcp,Telnet
53,23,telnet,udp,Telnet
54,24,,tcp,any private mail system
55,24,,udp,any private mail system
56,25,smtp,tcp,Simple Mail Transfer
57,25,smtp,udp,Simple Mail Transfer
58,26,,tcp,Unassigned
